Date,Holiday Name   ,Semester
17-07-2024,Moharrum,ALL
15-08-2024,Independence Day / Parsi New Year,ALL
21-08-2024,Faces,ALL
22-08-2024,Faces,ALL
23-08-2024,Faces,ALL
26-08-2024,Gopalkala,ALL
07-09-2024,Ganesh Chaturthi,ALL
08-09-2024,Ganesh Chaturthi,ALL
09-09-2024,Ganesh Chaturthi,ALL
10-09-2024,Ganesh Chaturthi,ALL
11-09-2024,Ganesh Chaturthi,ALL
16-09-2024,16-E-Milad,ALL
02-10-2024,Mahatma Gandhi Jayanti,ALL
31-08-2024,Internal Assessment-1,ALL
02-09-2024,Internal Assessment-1,ALL
03-09-2024,Internal Assessment-1,ALL
01-08-2024,Goa IV,7
02-08-2024,Goa IV,7
03-08-2024,Goa IV,7
04-08-2024,Goa IV,7
18-10-2024,Internal Assessment-2,ALL
19-10-2024,Internal Assessment-2,ALL
21-10-2024,Internal Assessment-2,ALL
31-10-2024,Diwali (Kali Chaudas) / 1st Day of Diwali,ALL
01-11-2024,Diwali (Laxmi Pujan),ALL
02-11-2024,Diwali (Bali Pratipada),ALL
15-11-2024,Guru Nanak Jayanti,ALL